,DaysFromStart,Score,k_cat,a,b,c,d,e,f
0,1,88253.23405,e,0,0,0,0,1,0
1,1,88253.23405,e,0,0,0,0,1,0
2,7,76985.22778,d,0,0,0,1,0,0
3,8,80306.0647,d,0,0,0,1,0,0
4,8,43404.98491,b,0,1,0,0,0,0
5,8,59443.03502999999,c,0,0,1,0,0,0
6,8,48874.5253,b,0,1,0,0,0,0
7,8,67622.61575,d,0,0,0,1,0,0
8,8,57095.904720000006,c,0,0,1,0,0,0
9,8,44580.701030000004,b,0,1,0,0,0,0
10,8,44135.81307,b,0,1,0,0,0,0
11,8,58703.38407000001,c,0,0,1,0,0,0
12,8,48912.150369999996,b,0,1,0,0,0,0
13,8,48874.5253,b,0,1,0,0,0,0
14,8,48874.5253,b,0,1,0,0,0,0
15,8,48874.5253,b,0,1,0,0,0,0
16,8,46601.36953,b,0,1,0,0,0,0
17,8,43400.30266,b,0,1,0,0,0,0
18,8,48874.5253,b,0,1,0,0,0,0
19,8,41871.89955,b,0,1,0,0,0,0
20,9,44413.02283,b,0,1,0,0,0,0
21,9,45860.37842,b,0,1,0,0,0,0
22,9,80968.81409,d,0,0,0,1,0,0
23,9,62472.63235,c,0,0,1,0,0,0
24,9,37384.36685,a,1,0,0,0,0,0
25,9,36887.5161,a,1,0,0,0,0,0
26,9,36650.79337,a,1,0,0,0,0,0
27,9,100232.28546,e,0,0,0,0,1,0
28,9,51975.08053,c,0,0,1,0,0,0
29,9,67952.58634,d,0,0,0,1,0,0
30,9,58872.734529999994,c,0,0,1,0,0,0
31,9,76747.2332,d,0,0,0,1,0,0
32,9,67674.59413,d,0,0,0,1,0,0
33,9,94185.44134,e,0,0,0,0,1,0
34,9,94185.44134,e,0,0,0,0,1,0
35,9,94185.44134,e,0,0,0,0,1,0
36,9,94185.44134,e,0,0,0,0,1,0
37,9,47969.17789,b,0,1,0,0,0,0
38,9,94185.44134,e,0,0,0,0,1,0
39,9,76747.2332,d,0,0,0,1,0,0
40,9,94185.44134,e,0,0,0,0,1,0
41,9,94185.44134,e,0,0,0,0,1,0
42,9,67951.52113,d,0,0,0,1,0,0
43,9,94185.44134,e,0,0,0,0,1,0
44,9,57081.220629999996,c,0,0,1,0,0,0
45,9,53546.23822,c,0,0,1,0,0,0
