,company,title,description
0,PWC,Analytic Insights,"Analytic Insights - Data Scientist Sr Associate  A career in National Special Functions, within Internal Firm Services, will provide you with the opportunity to support service, sector, and market leaders deliver the unique PwC client experience to our clients. You’ll play an important part in continuously innovating and improving Firm operations so that we can continue to provide the highest quality of services to our current and prospective clients. Our Data and Analytics Delivery Services team is responsible for serving as a strategic business partner for an assigned customer to identify and pursue new opportunities, conduct market analysis, and prepare revenue projections. You’ll also develop new service offerings and solutions, enhance existing delivery capabilities, and support the delivery of solutions on engagements.   Responsibilities As a Senior Associate, you’ll work as part of a team of problem solvers with extensive consulting and industry experience, helping our clients solve their complex business issues from strategy to execution. Specific responsibilities include but are not limited to: Proactively assist in the management of several clients, while reporting to Managers and above Train and lead staff Establish effective working relationships directly with clients Contribute to the development of your own and team’s technical acumen Keep up to date with local and national business and economic issues Be actively involved in business development activities to help identify and research opportunities on new/existing clients  Continue to develop internal relationships and your PwC brand  Job Requirements and Preferences: Basic Qualifications: Minimum Degree Required: Bachelor Degree Minimum Years of Experience: 2 year(s) Preferred Qualifications: Preferred Knowledge/Skills: Demonstrates thorough knowledge and/or a proven record of success in the following areas: - Working with information technology and business intelligence platforms; - Understanding and developing scientific approaches to extract insights from data and developing predictive models; - Developing differentiated points of view through predictive analytics; - Leveraging modeling, analytics, statistical capabilities, and statistical software (R, Python, SAS) including SQL; - Creating and contextualizing analytic modeling and monitoring of key business drivers; - Managing activities around client support, risk mitigation on a product, deliverable and project basis, and the quality of delivered products by adhering to the unit's quality review protocol; and, - Taking an active part in building a personal knowledge base through proactive data analysis activities and efforts to build product deliverables either individually or with client service teams. Demonstrates thorough abilities and/or a proven record of success in the following areas: - Delivering relevant and value added insights from data; - Leveraging multiple software packages to efficiently execute appropriate analytic techniques and execute in both standard point-and-click and customized code-based settings; - Leveraging both traditional statistical techniques as well as machine learning and artificial intelligence approaches, with thorough ability to understand when and how to apply all approaches to deliver optimal solutions; - Integrating analyses from multiple angles; - Navigation of statistical software after cleaning dirty data from multiple sources; - Leveraging analytics methodologies and tools; - Establishing personal networks relevant to the industry; - Exhibiting team commitment and the willingness to support the team in the attainment organizational goals; and, - Guiding and developing others in the group and across the Analytic Insights organization and the Firm who are new to the industry or subject matter."
1,Indeed,BI Analyst,"Our mission: As the world’s number 1 job site, our mission is to help people get jobs. We need talented, passionate people working together to make this happen. We are looking to grow our teams with people who share our energy and enthusiasm for creating the best experience for job seekers.  The team: We are builders, we are integrators. Tech Services creates and optimizes solutions for a rapidly growing business on a global scale. We work with distributed infrastructure, petabytes of data, and billions of transactions with no limitations on your creativity. You don’t have to wait for some architect or manager to tell you what you can work on - you decide the priorities. With tech hubs in Seattle, San Francisco, Austin, Tokyo and Hyderabad, we are improving people's lives all around the world, one job at a time.  Your job: As a BI Analyst at Indeed, your role is to be an expert at understanding Indeed's data. We expect you to aid various teams in drawing insight from our data. This includes creating dashboards, visualizations, algorithms, and business tools for use across the organization. If you're passionate about technology, love to learn, enjoy collaborating cross-functionally, and are excited to work with massive amounts of data, this is a great opportunity to grow your skills and contribute to a top-tier web site.  About you: What do you need for this job?  Responsibilites   5+ years of relevant industry experience in a data science, business analytics, business intelligence or comparable data engineering role, including data warehousing and business intelligence tools, techniques and technology 3+ Years of Python (particularly Pandas and Numpy), R, SAS programming experience B.S. degree in math, statistics, computer science, or equivalent technical field Knowledge of SQL to write complex, highly-optimized queries across large volumes of data Proven track record demonstrating an aptitude to analyze trends, compile data into comprehensive reports, and making recommendations based off findings Excellent verbal and written communication skills, and comfortable interacting with employees ranging from entry-level to senior vice presidents Ability to explain complicated or technical information in a simple way to non-technical audiences Curiosity and passion about data and data visualization Creativity to determine the best solution for a real-world problem with quantitative data Willingness to question the validity and accuracy of data Enjoys collaborating with others in team environment Eager to learn in a fast-paced environment What we'd love to see (but isn't required)   2+ years of Project management and/or team lead experience Previous experience working with the following: Marketing, Sales, Finance, HR, and e-commerce/web, Client Services Knowledge of ETL and data warehouse processes Indeed provides a variety of benefits that help us focus on our mission of helping people get jobs."
2,HT Group,BI Analyst Engineer,"Business Intelligence Analyst/Engineer The HT Group  39 reviews  - Austin, TX 78745 Contract Downtown Austin Texas area 6-month contract w/medical benefits Awesome opportunity to work as a Business Intelligence Analyst/Engineer for a really well known fast growing global company. Daily Responsibilities: Dig into a variety of large data sets and identify trends, gaps, and opportunities to move business forward Design and carry out experiments informing data-driven decisions Define metrics/KPIs and provide reporting to show how our business is going (up to the right) Work closely with data engineers to build a scalable data infrastructure for analytics Use data visualization, statistics, and storytelling to effectively answer open-ended business questions Present your awesome data results and recommendations to senior leaders Required Experience: Analytics: Statistics, data distributions, summary/aggregation methods, operational KPI development, experiment design and analysis, confidence intervals and sampling theory, regression models (linear, ordinal) Data: Star schema data models, data extraction via SQL/HQL Tools: R, Python, Tableau, SourceTree, Bitbucket, etc The work environment is all that and more, voted Best Places to work: Very unique FUN work space, You will be proud to tell people you work there, Management is honest and ethical, You will be given lots of responsibility, Diverse environment, People care about each other."
3,GTS Technology Solutions,BI Developer,"Business Intelligence Developer GTS Technology Solutions  12 reviews  - Austin, TX $90,000 - $128,000 a year (Indeed Est.)  GTS is seeking a proven Business Intelligence Engineer to tackle complex business problems by converting raw data into meaningful and actionable business insights. You will work to extend our data warehouse and use BI tools to create reports and visualizations. You will collaborate with all departments to architect, implement, and ship high quality products. PERKS Small, fast growing team so you'll have the opportunity to help shape the culture and software Competitive salary Flexible vacation days and paid holidays Medical, Dental, Vision, LTD, Life, EAP and 401K Benefits Free lunch every day and breakfast on Thursdays! WHO YOU ARE A Real Pro. Creating web apps is your thing! A Creative Thinker. You have a serious passion for producing beautiful, clean & unique sites and applications. Hard Working. You aren’t afraid of a tough deadline. Meticulous. You take pride in your work. Knowledgeable. You deeply understand web development, node development, and their ecosystems. Team Player. You put team success first and have a high degree of personal character. WHAT YOU’LL DO Collaborate directly with peers and business leaders to transform ideas into actions Become a trusted adviser to Product, Marketing, Sales, and Finance to define and provide mission critical data Maintain and expand ETL and reporting tools. Participate in the design of our overall data collection strategy, including technology, data pipelines, and visualizations. Develop logical data models and processes to transform, cleanse, and normalize raw data into high-quality data sets aligned with our analytical requirements. Build a scalable data insight platform that makes every decision data driven. WHAT YOU’LL BRING 2-4 years of experience as a BI engineer, software engineer, data engineer, or related field. Expert in SQL, with ability to optimize databases and query performance. Experience with a scripting language, preferably in Python or similar. Familiarity with NoSQL, Hadoop, other data management platforms a plus. Experience with business intelligence tools such as Tableau, Looker, or Mode Analytics Foundation in software engineering and computer science fundamentals, such as design patterns, data structures, and algorithms Experience with common software engineering tools and processes A proactive approach, flexibility, good communication, and fast learning."
4,Pulselight,Data Analyst,"Data Analyst Pulselight - Austin, TX CAREER OPPORTUNITY FOR HEALTHCARE DATA ANALYST Are you someone who loves finding the stories in data and working on mission-driven work that strives to improve our healthcare systems for everyone? Are you someone who likes to get in on the ground-floor of opportunities and help shape company and solution growth? If so, this journey could be for you. Send us your information and let’s start the conversation. Responsibilities: Provide subject matter expertise on analyzing, understanding and interpreting healthcare data. You will be on the frontline of developing analysis methods and techniques for using data to combat urgent challenges, such as fraud, the opioid epidemic, payment integrity, and long-term care abuse and neglect. Work closely with healthcare solution leads, data engineers, software engineers, product management and other domain SMEs to define, develop and productize novel and scalable techniques for measuring things of interest in the data. You will take in multiple view points on complex issues and distill them into actionable queries, algorithms and analyses that can be optimized for and integrated into the company’s best-in-breed SaaS analytics platform. Form and support robust opinions with imperfect data while still revising your beliefs in the face of compelling new data or analyses. Conduct verification, validation and performance testing of SQL queries written by others. Recommend changes to methodology and structure to improve computational efficiency, usability, interpretability and accuracy. Actively review and suggest improvements to systems, tools and processes based on your knowledge of healthcare claims analysis and data. Be curious and willing to develop an intimate understanding of each data source, including their quirks and peculiarities, and be able to succinctly communicate these challenges to both technical and non-technical audiences Work with data engineering and client engagement teams to assess and onboard new clients and/or data sources including ETL efforts and mapping client schema to the Pulselight data model. Embrace and evangelize the value of configuration management and version control to develop scalable, reproducible, and accurate analyses. Utilize platform tooling to help manage analysis configurations between customers and recommend improvements to process and tooling. Be curious, passionate, skeptical, and determined to get to the core of difficult problems. Qualifications Must be legally authorized to work in the US without employer sponsorship Bachelor’s degree in Computer Science, Information Systems, Data Science or related field At least 5 years of experience with analyzing healthcare medical and pharmacy claims data plus experience with at least 2 other related data sources such as: Enrollment data for health plan providers or members Vital statistics, medical demographic or epidemiological data Electronic health records/medical records (EHR/EMR) Prescription drug monitoring program (PDMP) data Other clinical data relating to urgent challenges such as the opioid epidemic, long-term care abuse and neglect, or healthcare fraud, waste and abuse Self-starter able to independently take broad technical objectives, identify appropriate tasks, and then execute tasks to completion with minimal supervision and messy data Expert-level proficiency with SQL required Familiarity with complimentary analysis tools (Excel, Cognos, SAP Business Objects, Tableau) desired Familiarity with at least one statistical analysis, scripting, or programming language (R, PHP, Java, Python, Matlab, etc.) preferred Experience working under healthcare compliance and data privacy regulations (e.g., HIPAA) Demonstrated communication and presentation skills w"
5,Square Root,Data Analyst,"Data Analyst Square Root  3 reviews  - Austin, TX Square Root is built on understanding our customers' data more deeply than they do. We're looking for a Data Analyst to be an integral part of that equation. You’ll spend your days nose-deep in data, supporting and learning from a Senior Data Scientist. You’ll collaborate with our Customer Success team, investigating technical issues and data discrepancies. Along the way, you'll get to work with innovative technologies and great people in a startup culture. Sound like your jam? Keep reading! The Gig Assist in rapid customer implementations and data integrations to allow for minimal customer investment and maximum data quality and consistency Support our Senior Data Scientists in uncovering insights during customer data exploration Collaborate with the Customer Success team to ensure operational stability Work directly with our customers to understand business logic and integrate data Gain a deep understanding of the automotive and retail industries Learn to use cutting edge auto-scaling serverless databases and Elastic Map Reduce Implement and automate customer deliverables to include Excel and Looker  About You You love to dive deep into numbers and statistics You understand the importance of patience and attention to detail in partnerships You’ve got 1+ years experience working in complex databases using formulas and algorithms You've got experience using SQL to query, update large databases, and build OLAP structures You have experience in customer support You're comfortable in Python and have worked with Bash or other shell scripting languages Tableau or similar experience with visualization tech will serve you well You’re able to articulate data insights to non-technical customers You’re innately curious and fanatical about learning"
6,NIC,Data Scientist,"Job description The nation’s premier provider of innovative digital government solutions and secure payment processing is currently seeking a Data Scientist to complement their growing team in Austin, Texas.  Our Enterprise Technology Services (ETS) team of the NIC Inc. family of companies, serves state and local agencies, by partnering with them to provide new, innovative, online government services.  At NIC (NASDAQ: EGOV), it’s our mission to make government interactions more accessible for everyone through technology.  NIC’s company culture is driven by a set of core values: trust, integrity, responsibility, passion, innovation, family, and community.  As a member of the ETS Austin team, you will work as a team to drive application and adoption of emerging technologies to create effective and citizen-centric, digital government solutions. *Note:  Preference is to identify someone in the Austin, TX market, but could consider candidates that could sit in our Olathe, KS or Nashville, TN offices as well. The ideal candidate is looking to make their mark on a company that is taking our use of technologies to the next level. We’re an innovative company seeking to use data analytics and machine learning to make us more nimble and more innovative &ndash; with the end result being customers that love what we do. Summary:  Establish data science capabilities within NIC to improve our products and insights with customers and our business gained from analyzing company data Be a data and analytics champion throughout the company &ndash; solve problems to support our product, sales, leadership, engineering, and marketing teams Translate ideas and theory into data-informed solutions that NIC products and services can use to grow Develop, benchmark, and validate a wide variety of AI/ML models to help power our NIC products Build architecture for models to be shared/reused by various NIC products Apply deep experience with architecture, software engineering, data visualization, prototyping, and products Communicate well to a wide variety of audiences &ndash; in order to answer business questions, and explain complex results to technical and non-technical stakeholders Responsibilities: Develop NIC’s data science methodology and approach across the company Determine the most effective use of business intelligence, decision science, and machine learning Deliver productionalized machine learning and neural network models and capabilities for use as product features Evangelize, teach, and drive awareness of the use of data to improve how our company operates Set technology architecture and standards &ndash; apply your experience to develop, communicate, and enforce standards to achieve results that drive capabilities faster with higher quality Work with product owners and other architecture disciplines:  Solution architecture, Software architecture, Infrastructure architecture, Integration architectures Support the development and lifecycle management of product roadmaps   Requirements: (Knowledge, Skills and Abilities) Bachelor’s degree or higher in computer science, applied statistics, economics, etc. 5+ years’ experience with Java, Python or C++ Pattern recognition and predictive modeling skills Proficient at data visualization using technologies such as R, Python, D3, etc. Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. Experience querying databases and using statistical computer languages: R, Python, SQL, Matlab, etc. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Experience working closely with software / product development teams to operationalize statistical or AI/ML models. Strong interpersonal skills and capability to work successfully in a collaborative environment Quick-thinker, fast learner, wide general knowledge, problem solver Team worker, responsible, delivery-oriented"
7,Sense Corp,Data Scientist,"Job description Key Responsibilities: Employ statistical and programming techniques with big data + IoT initiatives and tools to drive major operational business decisions. Understand customer and business requirements and implement reliable technical solutions for non-technical end users. Identify opportunities to improve data collection, reporting, and analysis based on business needs. Regularly interface with client sponsors and team members to meet project deadlines and provide clear communication with the team. Provide documentation and explanation of technical solutions in a professional manner Requirements: Strong and proven background of analytical, mathematical and critical thinking Passion for data analytics, modeling, programming, and machine learning. Strong Python and/or R programming experience. Bonus if applicant has examples of scaling production-facing applications or open-source contributions. Exposure to data ETL, storage, and manipulation tools including SQL, XML/JSON, and APIs BS or MS in Computer Science, Computational Mathematics, Applied Mathematics, Engineering, Data Science, Statistics or equivalent US Citizen or GC Holder"
8,Pivotal Analytics,Digital Analyst,"Digital Analyst PivotalAnalytics - Austin, TX 78705 Company Overview: PivotalAnalytics is an analytics and data strategy agency, born from financial and marketing analytics. We are a unique blend of fiscally responsible and creative analysts with a passion for problem solving through data analytics. We love using data to solve problems and find new opportunities. Our analysts are not cube-dwelling data crunchers, they are communicators that take the complexity out of the data to provide insights that map back to the challenge at hand. Job Summary: We are looking to add a full-time web analyst to support the rapid growth in our business. The analyst will work closely with our clients in a fast-paced work environment managing the day-to-day analytics needs and looking for areas of opportunity. The ideal candidate will have a strong web analytics and business analysis background. Prior interactive agency experience is a plus . Position Qualifications: Bachelor's degree in a business, finance, math, technical field or related discipline preferred. 1 - 3 years of experience in data reporting, analysis, and forecasting. Proficiency with Web Analytics tools (Adobe Analytics Suite, Core Metrics, Google Analytics, or another well-known web analytics toolset) is required. Google Analytics and Tag Manager experience is a plus. Strong analytic, quantitative, and data interpretation skills. Demonstrated ability of critical and creative thinking: desire and ability to constantly expand one's technical and business knowledge. Advanced understanding of online conversion techniques, conversion funnels, A/B testing, and multivariable testing. Experience analyzing results for online marketing campaigns, such as paid Search / PPC, email, and social. Experience defining requirements for new functions or features with web analytics, tracking and tagging. Proficiency in Excel and data visualization, Tableau is a plus. Proficiency with database applications is a plus. Excellent verbal and written communication. Ability to work independently and be self-motivated with a high degree of intellectual curiosity. Strong analytical and problem solving skills; able to develop and use structured approaches to identify root causes and recommend solutions. Quantitative ability, including experience gathering and manipulating data from multiple sources Flexible, including ability to adapt quickly to changing priorities; capable of operating in a highly seasonal, high transaction environment. Project management skills: can manage multiple projects simultaneously to meet deadlines. Experience with Project management software a plus."
9,Modernize,Marketing Analyst,"Marketing Analyst Modernize  13 reviews  - Austin, TX What we're looking for: Are you a self-motivated critical thinker who is driven to succeed? Our downtown office has an open floor plan that encourages collaboration. We take care of our team as well; a solid benefits package, quarterly bonuses, regular company outings, free beverages & snacks, music, and great co-workers are all included with employment at Modernize.  In this position, you will be tasked with turning data into insight and action by providing thorough web and mobile measurement, analytics and a/b testing. You consider yourself a strong critical thinker, have the ability to navigate various data environments, hands-on technical ability in data, and a strong drive to understand our business. The role involves daily collaboration with product management, user design, data warehouse developers, data architects, and software development teams.  What you'll do: Develop insights to answer complex questions through well-designed data analyses using SQL, Qlikview, Heap Analytics and other tools. Partner with Product and Web Marketing teams to use Exploratory, Predictive, and Prescriptive analytics to inform product strategy & roadmap Partner with Web Marketing teams to drive in market acquisitions by identifying user behaviors, and tracking keyword/campaign performance Segment traffic based on source, channel, visitor frequency, platform, etc. to understand online behaviors and identify opportunities to improve conversion and retention Understand Modernize's data infrastructure and coordinate with our DataOps team to deliver data models and structures to meet business demands Collaborate with all business teams on ad-hoc analyses to uncover the root cause of recent business trends Define & refine KPIs/success metrics for web and mobile experiences; set baselines and use them to track and validate performance over time Who you are: Motivated, driven, and works well autonomously Thrives in a fast-paced, data-driven, entrepreneurial culture Experienced with web optimization & A/B testing Excellent problem-solver with a strong work ethic Ability and willingness to learn structured and unstructured data systems Comfortable with data preparation, processing, classification, forecasting, and presentation What you need: A Bachelor's degree or advanced degree in a technical or math-based field 3+ years of experience in business analysis or data analysis Excellent communication skills with the ability to present and translate complex information to internal teams. Strong SQL skills Experience with web event tracking solutions like: Google Analytics, Facebook Analytics, HEAP Analytics Experience working with data warehouse software and business intelligence platforms is preferred Familiarity with the advertising landscape including paid search, social, and display channels Python coding knowledge preferred"
